iter	Passed	Remaining
135	1960	26876
136	1974	26849
137	1988	26829
138	2005	26847
139	2017	26805
140	2031	26780
141	2044	26756
142	2060	26754
143	2073	26724
144	2089	26727
145	2105	26737
146	2120	26724
147	2133	26693
148	2148	26696
149	2161	26652
150	2174	26632
151	2189	26617
152	2202	26593
153	2215	26561
154	2228	26530
155	2240	26487
156	2254	26466
157	2266	26420
158	2280	26408
159	2293	26374
160	2306	26345
161	2317	26297
162	2330	26268
163	2338	26179
164	2352	26157
165	2363	26112
166	2376	26081
167	2389	26056
168	2403	26044
169	2415	26004
170	2431	26005
171	2443	25971
172	2458	25968
173	2471	25934
174	2484	25910
175	2497	25882
176	2510	25859
177	2523	25832
178	2536	25808
179	2552	25810
180	2568	25814
181	2582	25799
182	2595	25768
183	2609	25756
184	2625	25754
185	2639	25741
186	2655	25748
187	2662	25665
188	2677	25659
189	2691	25638
190	2701	25585
191	2716	25579
192	2732	25587
193	2748	25587
194	2765	25602
195	2780	25590
196	2797	25605
197	2811	25583
198	2824	25565
199	2830	25477
200	2846	25481
201	2862	25480
202	2876	25464
203	2889	25434
204	2903	25423
205	2917	25407
206	2934	25422
207	2947	25390
208	2954	25320
209	2969	25310
210	2983	25299
211	2996	25269
212	3012	25274
213	3027	25270
214	3043	25267
215	3057	25252
216	3073	25253
217	3087	25238
218	3104	25247
219	3116	25214
220	3125	25161
221	3138	25133
222	3151	25110
223	3162	25076
224	3175	25048
225	3186	25013
226	3201	25003
227	3214	24984
228	3228	24965
229	3240	24935
230	3253	24914
231	3262	24864
232	3274	24836
233	3287	24808
234	3302	24802
235	3316	24785
236	3331	24780
237	3344	24763
238	3360	24760
239	3374	24749
240	3389	24739
241	3404	24730
242	3419	24723
243	3438	24747
244	3459	24784
245	3474	24772
246	3489	24765
247	3497	24708
248	3512	24702
249	3526	24687
250	3543	24691
251	3555	24665
252	3570	24657
253	3584	24639
254	3599	24633
255	3614	24620
256	3627	24601
257	3638	24566
258	3652	24552
259	3665	24530
260	3677	24505
261	3690	24478
262	3698	24425
263	3712	24410
264	3727	24403
265	3732	24330
266	3746	24315
267	3758	24293
268	3774	24290
269	3790	24285
270	3807	24292
271	3823	24287
272	3827	24209
273	3841	24197
274	3856	24193
275	3871	24180
276	3885	24168
277	3899	24151
278	3913	24137
279	3927	24127
280	3942	24120
281	3955	24099
282	3972	24101
283	3988	24101
284	4003	24091
285	4016	24071
286	4033	24072
287	4046	24055
288	4063	24055
289	4072	24013
290	4086	23998
291	4098	23970
292	4112	23959
293	4124	23934
294	4138	23921
295	4153	23910
296	4167	23896
297	4180	23878
298	4194	23859
299	4206	23839
300	4221	23830
301	4235	23813
302	4249	23798
303	4262	23780
304	4275	23759
305	4287	23735
306	4300	23717
307	4313	23694
308	4327	23681
309	4341	23668
310	4354	23649
311	4366	23624
312	4380	23608
313	4393	23591
314	4405	23568
315	4418	23546
316	4434	23543
317	4440	23486
318	4453	23467
319	4466	23447
320	4478	23426
321	4491	23404
322	4504	23388
323	4516	23363
324	4531	23353
325	4542	23327
326	4558	23321
327	4571	23301
328	4583	23278
329	4595	23257
330	4611	23253
331	4623	23228
332	4638	23220
333	4650	23194
334	4663	23177
335	4676	23159
336	4690	23145
337	4703	23127
338	4718	23116
339	4731	23098
340	4746	23090
341	4759	23071
342	4775	23071
343	4790	23060
344	4802	23036
345	4814	23015
346	4827	22998
347	4840	22978
348	4854	22962
349	4859	22908
350	4872	22889
351	4883	22861
352	4897	22849
353	4910	22830
354	4924	22818
355	4936	22798
356	4949	22776
357	4961	22755
358	4973	22735
359	4985	22712
360	4998	22693
361	5010	22670
362	5023	22655
363	5035	22630
364	5049	22620
365	5062	22600
366	5073	22576
367	5087	22559
368	5099	22539
369	5110	22514
370	5124	22502
371	5137	22484
372	5151	22470
373	5164	22452
374	5178	22441
375	5190	22419
376	5204	22403
377	5214	22376
378	5229	22368
379	5242	22350
380	5255	22334
381	5267	22311
382	5280	22294
383	5293	22278
384	5307	22264
385	5319	22243
386	5333	22229
387	5345	22210
388	5359	22195
389	5372	22177
390	5386	22163
391	5396	22136
392	5411	22128
393	5424	22112
394	5439	22103
395	5450	22078
396	5466	22072
397	5481	22061
398	5497	22058
399	5516	22067
400	5535	22073
401	5551	22067
402	5561	22040
403	5578	22037
404	5595	22037
405	5610	22027
406	5623	22010
407	5638	22000
408	5653	21990
409	5668	21981
410	5684	21977
411	5699	21969
412	5716	21966
413	5731	21956
414	5745	21945
415	5761	21938
416	5778	21935
417	5789	21912
418	5805	21907
419	5819	21893
420	5835	21886
421	5847	21867
422	5862	21856
423	5876	21842
424	5891	21832
425	5907	21826
426	5921	21813
427	5933	21792
428	5948	21781
429	5962	21770
430	5978	21762
431	5990	21742
432	6003	21727
433	6018	21716
434	6034	21708
435	6047	21691
436	6059	21674
437	6071	21653
438	6088	21649
439	6105	21645
440	6121	21639
441	6134	21623
442	6150	21617
443	6164	21601
444	6176	21583
445	6189	21566
446	6202	21550
447	6215	21533
448	6229	21519
449	6243	21503
450	6254	21482
451	6267	21466
452	6282	21453
453	6293	21429
454	6306	21415
455	6320	21399
456	6332	21379
457	6346	21366
458	6361	21355
459	6374	21339
460	6387	21323
461	6399	21305
462	6414	21294
463	6427	21275
464	6444	21272
465	6457	21255
466	6473	21249
467	6486	21232
468	6501	21221
469	6513	21205
470	6530	21200
471	6543	21182
472	6558	21174
473	6572	21160
474	6584	21140
475	6597	21123
476	6611	21109
477	6624	21091
478	6641	21089
479	6656	21078
480	6670	21066
481	6683	21049
482	6698	21039
483	6712	21025
484	6726	21011
485	6739	20993
486	6755	20986
487	6769	20974
488	6781	20954
489	6795	20941
490	6810	20931
491	6823	20913
492	6837	20900
493	6849	20879
494	6863	20866
495	6874	20844
496	6888	20831
497	6900	20811
498	6913	20795
499	6926	20780
500	6939	20762
501	6951	20743
502	6965	20730
503	6978	20715
504	6993	20703
505	7004	20681
506	7020	20672
507	7033	20657
508	7049	20649
509	7062	20634
510	7076	20621
511	7089	20602
512	7102	20586
513	7116	20575
514	7130	20562
515	7144	20546
516	7157	20531
517	7169	20510
518	7184	20501
519	7199	20490
520	7214	20480
521	7227	20464
522	7242	20452
523	7257	20441
524	7272	20431
525	7285	20416
526	7300	20406
527	7313	20390
528	7327	20376
529	7340	20358
530	7353	20341
531	7364	20320
532	7377	20304
533	7389	20286
534	7401	20266
535	7412	20247
536	7426	20232
537	7438	20214
538	7452	20200
539	7464	20183
540	7480	20173
541	7491	20153
542	7505	20137
543	7516	20116
544	7530	20105
545	7545	20092
546	7559	20079
547	7572	20063
548	7586	20051
549	7597	20029
550	7611	20017
551	7625	20002
552	7640	19992
553	7652	19974
554	7667	19963
555	7679	19945
556	7694	19933
557	7709	19921
558	7723	19910
559	7737	19896
560	7753	19888
561	7765	19870
562	7781	19860
563	7792	19841
564	7807	19830
565	7821	19816
566	7837	19807
567	7849	19790
568	7863	19776
569	7878	19764
570	7893	19754
571	7907	19742
572	7921	19727
573	7936	19716
574	7952	19707
575	7966	19694
576	7980	19680
577	7992	19662
578	8005	19646
579	8018	19630
580	8031	19616
581	8045	19603
582	8059	19588
583	8072	19573
584	8086	19559
585	8099	19543
586	8113	19529
587	8125	19512
588	8139	19497
589	8151	19479
590	8166	19469
591	8179	19453
592	8191	19436
593	8203	19417
594	8218	19406
595	8231	19391
596	8246	19378
597	8258	19362
598	8272	19348
599	8284	19331
600	8299	19319
601	8313	19305
602	8326	19291
603	8340	19277
604	8354	19264
605	8368	19250
606	8381	19234
607	8395	19221
608	8411	19212
609	8422	19191
610	8437	19181
611	8451	19167
612	8465	19153
613	8495	19176
614	8518	19184
615	8529	19164
616	8545	19154
617	8560	19143
618	8576	19134
619	8589	19118
620	8602	19103
621	8617	19092
622	8632	19080
623	8646	19066
624	8659	19051
625	8674	19038
626	8689	19028
627	8701	19009
628	8716	18998
629	8728	18980
630	8742	18966
631	8753	18946
632	8768	18935
633	8781	18920
634	8795	18905
635	8807	18888
636	8819	18872
637	8832	18854
638	8846	18841
639	8859	18826
640	8872	18810
641	8885	18795
642	8901	18784
643	8914	18770
644	8930	18760
645	8944	18746
646	8956	18730
647	8969	18714
648	8985	18704
649	8998	18689
650	9013	18677
651	9025	18660
652	9038	18645
653	9050	18627
654	9065	18614
655	9077	18597
656	9090	18581
657	9103	18567
658	9117	18553
659	9130	18538
660	9143	18521
661	9154	18503
662	9165	18484
663	9177	18465
664	9190	18449
665	9202	18431
666	9216	18418
667	9227	18400
668	9240	18384
669	9252	18366
670	9264	18349
671	9276	18332
672	9293	18324
673	9305	18307
674	9319	18293
675	9329	18272
676	9342	18256
677	9352	18236
678	9366	18222
679	9379	18206
680	9390	18187
681	9403	18172
682	9417	18159
683	9428	18140
684	9443	18129
685	9454	18109
686	9465	18090
687	9479	18076
688	9491	18059
689	9502	18041
690	9518	18030
691	9532	18017
692	9547	18006
693	9558	17987
694	9573	17976
695	9586	17961
696	9600	17946
697	9613	17932
698	9628	17920
699	9640	17904
700	9654	17890
701	9667	17875
702	9681	17861
703	9692	17843
704	9706	17830
705	9718	17812
706	9729	17793
707	9741	17776
708	9753	17760
709	9767	17746
710	9781	17734
711	9795	17720
712	9808	17705
713	9822	17690
714	9836	17678
715	9847	17659
716	9860	17644
717	9873	17629
718	9887	17615
719	9900	17600
720	9913	17585
721	9925	17568
722	9940	17557
723	9952	17540
724	9966	17527
725	9978	17510
726	9991	17495
727	10004	17480
728	10019	17469
729	10030	17450
730	10045	17438
731	10058	17423
732	10073	17411
733	10087	17398
734	10099	17381
735	10112	17367
736	10126	17354
737	10137	17335
738	10153	17325
739	10163	17305
740	10176	17290
741	10190	17276
742	10204	17264
743	10218	17249
744	10230	17234
745	10244	17219
746	10257	17205
747	10270	17191
748	10283	17176
749	10296	17160
750	10308	17143
751	10319	17126
752	10334	17114
753	10347	17099
754	10361	17086
755	10375	17073
756	10390	17060
757	10403	17046
758	10419	17036
759	10430	17018
760	10444	17005
761	10458	16991
